,Building ID,Market,profit
573,Bldg-116487,Dallas,32.66
620,Bldg-116568,Dallas,32.66
619,Bldg-116566,Dallas,32.66
102,Bldg-038174,Atlanta,32.66
579,Bldg-116495,Dallas,32.66
260,Bldg-075428,Atlanta,32.66
221,Bldg-061803,Atlanta,32.66
121,Bldg-038248,Atlanta,32.66
621,Bldg-116569,Dallas,32.66
575,Bldg-116489,Dallas,32.66
541,Bldg-115758,Atlanta,32.66
509,Bldg-115626,Atlanta,32.66
508,Bldg-115625,Atlanta,32.66
521,Bldg-115654,Atlanta,32.66
500,Bldg-115613,Atlanta,32.66
499,Bldg-115610,Atlanta,32.66
208,Bldg-060342,Atlanta,32.66
217,Bldg-061766,Atlanta,32.66
455,Bldg-115287,Atlanta,32.66
527,Bldg-115664,Atlanta,32.66
479,Bldg-115579,Atlanta,32.66
497,Bldg-115606,Atlanta,32.66
536,Bldg-115688,Atlanta,32.66
538,Bldg-115690,Atlanta,32.66
462,Bldg-115551,Atlanta,32.66
381,Bldg-109237,Denver,33.17
1460,Bldg-489671,Atlanta,33.3
417,Bldg-111198,Denver,33.62
1547,Bldg-489886,Atlanta,34.69
689,Bldg-116695,Denver,35.27
1531,Bldg-489840,Atlanta,35.52
1586,Bldg-490056,Atlanta,36.07
1463,Bldg-489675,Atlanta,36.07
1299,Bldg-384196,Denver,36.49000000000001
1529,Bldg-489837,Atlanta,36.63
1513,Bldg-489794,Atlanta,36.63
1471,Bldg-489690,Atlanta,36.91
1577,Bldg-489990,Atlanta,36.91
1479,Bldg-489712,Atlanta,38.01
1476,Bldg-489708,Atlanta,38.84
1445,Bldg-489648,Atlanta,39.68
1430,Bldg-489608,Atlanta,39.96
1519,Bldg-489811,Atlanta,40.24
1516,Bldg-489799,Atlanta,40.24
1464,Bldg-489676,Atlanta,40.51
1475,Bldg-489702,Atlanta,42.73
1509,Bldg-489785,Atlanta,43.01
1559,Bldg-489931,Atlanta,43.01
1441,Bldg-489642,Atlanta,43.84
1539,Bldg-489860,Atlanta,44.39
1457,Bldg-489668,Atlanta,44.96
1443,Bldg-489645,Atlanta,45.23
1438,Bldg-489618,Atlanta,46.62
1589,Bldg-490084,Atlanta,46.89
1458,Bldg-489669,Atlanta,47.73
1429,Bldg-489606,Atlanta,47.73
1578,Bldg-489997,Atlanta,49.39
1444,Bldg-489646,Atlanta,51.34
1263,Bldg-231961,Denver,51.37
1591,Bldg-490090,Atlanta,51.89
1569,Bldg-489955,Atlanta,51.89
1574,Bldg-489979,Atlanta,52.72
1521,Bldg-489820,Atlanta,52.72
348,Bldg-101636,Atlanta,55.32
731,Bldg-118226,Dallas,55.32
635,Bldg-116593,Denver,55.32
779,Bldg-121336,Dallas,55.32
643,Bldg-116608,Denver,55.32
776,Bldg-120632,Dallas,55.32
775,Bldg-120365,Dallas,55.32
842,Bldg-131680,Atlanta,55.32
568,Bldg-116474,Dallas,55.32
245,Bldg-068747,Atlanta,55.32
803,Bldg-124444,Denver,55.32
841,Bldg-131679,Atlanta,55.32
297,Bldg-081662,Denver,55.32
783,Bldg-121453,Dallas,55.32
701,Bldg-116729,Denver,55.32
40,Bldg-029881,Denver,55.32
1448,Bldg-489653,Atlanta,56.05
1572,Bldg-489962,Atlanta,57.72
1564,Bldg-489939,Atlanta,58.82
1573,Bldg-489971,Atlanta,59.94
1436,Bldg-489616,Atlanta,60.21
1481,Bldg-489715,Atlanta,60.49
1474,Bldg-489701,Atlanta,60.49
1078,Bldg-143091,Atlanta,61.48
1517,Bldg-489801,Atlanta,62.16
1536,Bldg-489855,Atlanta,62.71
1425,Bldg-489601,Atlanta,62.71
762,Bldg-119165,Dallas,63.06
1534,Bldg-489850,Atlanta,63.54
1270,Bldg-231980,Denver,64.22
1461,Bldg-489673,Atlanta,66.6
1494,Bldg-489750,Atlanta,69.65
385,Bldg-109245,Denver,70.19
1459,Bldg-489670,Atlanta,72.7
1567,Bldg-489949,Atlanta,75.75
1505,Bldg-489768,Atlanta,76.03
1472,Bldg-489693,Atlanta,79.08
1110,Bldg-148079,Denver,79.09
1482,Bldg-489716,Atlanta,80.41
169,Bldg-055336,Atlanta,82.19
1500,Bldg-489758,Atlanta,83.25
1540,Bldg-489861,Atlanta,84.63
1563,Bldg-489938,Atlanta,84.91
1490,Bldg-489745,Atlanta,85.18
1562,Bldg-489935,Atlanta,86.3
1473,Bldg-489698,Atlanta,86.85
1426,Bldg-489603,Atlanta,87.68
1583,Bldg-490030,Atlanta,87.96
1525,Bldg-489826,Atlanta,91.01
1495,Bldg-489751,Atlanta,91.01
1109,Bldg-148077,Denver,92.29
1553,Bldg-489900,Atlanta,92.4
1515,Bldg-489798,Atlanta,93.23
1081,Bldg-143095,Atlanta,95.92
1451,Bldg-489658,Atlanta,97.4
1272,Bldg-231982,Denver,102.74
1485,Bldg-489720,Atlanta,103.23
1491,Bldg-489747,Atlanta,104.06
1535,Bldg-489853,Atlanta,107.11
1545,Bldg-489884,Atlanta,107.11
1258,Bldg-231951,Denver,113.53
1560,Bldg-489932,Atlanta,122.64
424,Bldg-111371,Atlanta,124.64
465,Bldg-115556,Atlanta,125.41
431,Bldg-111834,Atlanta,125.41
467,Bldg-115559,Atlanta,125.41
355,Bldg-105291,Atlanta,125.41
1067,Bldg-143076,Atlanta,125.88
476,Bldg-115573,Atlanta,126.63
874,Bldg-132418,Atlanta,126.63
690,Bldg-116696,Denver,126.63
872,Bldg-132411,Atlanta,126.63
873,Bldg-132417,Atlanta,126.63
868,Bldg-132395,Atlanta,127.15
61,Bldg-038066,Atlanta,128.66
60,Bldg-038065,Atlanta,128.66
1432,Bldg-489610,Atlanta,134.86
334,Bldg-091634,Dallas,135.36
1068,Bldg-143077,Atlanta,142.2
1469,Bldg-489688,Atlanta,143.46
1570,Bldg-489959,Atlanta,144.57
1497,Bldg-489755,Atlanta,149.57
1452,Bldg-489660,Atlanta,162.32
1414,Bldg-458455,Atlanta,163.82000000000005
767,Bldg-119783,Dallas,165.96
207,Bldg-060338,Atlanta,165.96
788,Bldg-121649,Denver,165.96
114,Bldg-038221,Atlanta,165.96
770,Bldg-120246,Dallas,165.96
227,Bldg-061870,Atlanta,165.96
346,Bldg-100477,Atlanta,165.96
772,Bldg-120259,Dallas,165.96
233,Bldg-065054,Dallas,165.96
158,Bldg-054670,Atlanta,165.96
760,Bldg-118999,Dallas,165.96
382,Bldg-109238,Denver,165.96
83,Bldg-038097,Atlanta,165.96
613,Bldg-116553,Dallas,165.96
374,Bldg-109100,Denver,165.96
37,Bldg-022926,Atlanta,165.96
435,Bldg-112042,Denver,175.65000000000003
1528,Bldg-489836,Atlanta,178.98
193,Bldg-060263,Atlanta,180.29
1075,Bldg-143085,Atlanta,181.5
282,Bldg-078149,Denver,186.13
1059,Bldg-143068,Atlanta,188.82
444,Bldg-114209,Denver,193.62
1395,Bldg-427587,Atlanta,196.69
1276,Bldg-267572,Denver,205.46
1072,Bldg-143082,Atlanta,210.78
876,Bldg-132468,Atlanta,219.66
710,Bldg-116752,Denver,220.43
226,Bldg-061855,Atlanta,220.54
846,Bldg-131959,Atlanta,220.63
388,Bldg-109250,Denver,220.63
867,Bldg-132390,Atlanta,220.74
384,Bldg-109244,Denver,221.28
749,Bldg-118502,Dallas,221.28
143,Bldg-038298,Atlanta,221.3
865,Bldg-132336,Dallas,221.6
514,Bldg-115638,Atlanta,222.36
855,Bldg-132289,Denver,222.41
704,Bldg-116736,Denver,222.51
218,Bldg-061774,Atlanta,222.6
849,Bldg-132259,Denver,222.6
866,Bldg-132347,Atlanta,222.77
627,Bldg-116579,Dallas,222.77
862,Bldg-132316,Denver,222.83
858,Bldg-132300,Denver,222.83
856,Bldg-132293,Denver,222.83
875,Bldg-132432,Atlanta,223.23
871,Bldg-132410,Atlanta,223.27
860,Bldg-132304,Denver,223.57
859,Bldg-132302,Denver,223.57
700,Bldg-116728,Denver,223.57
854,Bldg-132288,Denver,223.57
863,Bldg-132327,Dallas,223.6
340,Bldg-094546,Dallas,223.6
137,Bldg-038289,Atlanta,223.6
369,Bldg-108980,Atlanta,224.3
617,Bldg-116564,Dallas,224.3
845,Bldg-131958,Atlanta,224.3
552,Bldg-116444,Dallas,224.3
844,Bldg-131728,Atlanta,224.3
869,Bldg-132405,Atlanta,224.39
513,Bldg-115635,Atlanta,224.41
492,Bldg-115597,Atlanta,224.41
39,Bldg-029754,Dallas,224.41
